ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,9.76,9.76,14.65,0.0,4.89,4.89
Veh_2,17.21,17.21,23.45,0.0,6.24,6.24
Veh_3,25.94,25.94,30.6,0.0,4.67,4.67
Veh_4,32.25,32.25,37.95,0.0,5.7,5.7
Veh_5,42.09,42.09,44.76,0.0,2.67,2.67
Veh_6,48.56,48.56,51.95,0.0,3.39,3.39
Veh_7,56.3,56.3,61.07,0.0,4.77,4.77
Veh_8,63.2,63.2,69.36,0.0,6.16,6.16
Veh_9,72.73,72.73,75.62,0.0,2.89,2.89
Veh_10,82.01,82.01,85.1,0.0,3.09,3.09
Veh_11,91.0,91.0,95.16,0.0,4.17,4.17
Veh_12,99.3,99.3,103.86,0.0,4.56,4.56
Veh_13,107.06,107.06,111.4,0.0,4.33,4.33
Veh_14,114.41,114.41,120.53,0.0,6.11,6.11
Veh_15,121.86,121.86,127.26,0.0,5.4,5.4
Veh_16,128.32,128.32,132.3,0.0,3.98,3.98
Veh_17,137.3,137.3,141.36,0.0,4.06,4.06
Veh_18,147.13,147.13,151.61,0.0,4.48,4.48
Veh_19,153.96,153.96,159.62,0.0,5.65,5.65
Veh_20,163.44,163.44,165.67,0.0,2.23,2.23
Veh_21,172.27,172.27,175.84,0.0,3.57,3.57
Veh_22,179.8,179.8,184.78,0.0,4.98,4.98
Veh_23,185.99,185.99,189.7,0.0,3.71,3.71
Veh_24,194.85,194.85,199.26,0.0,4.41,4.41
Veh_25,202.28,202.28,208.71,0.0,6.42,6.42
Veh_26,208.54,208.54,213.47,0.0,4.93,4.93
Veh_27,217.89,217.89,222.18,0.0,4.29,4.29
Veh_28,225.94,225.94,229.18,0.0,3.25,3.25
Veh_29,234.13,234.13,235.33,0.0,1.2,1.2
Veh_30,240.67,240.67,245.17,0.0,4.5,4.5
Veh_31,249.29,249.29,251.01,0.0,1.72,1.72
Veh_32,258.95,258.95,264.45,0.0,5.51,5.51
Veh_33,267.4,267.4,272.86,0.0,5.46,5.46
Veh_34,273.91,273.91,277.1,0.0,3.19,3.19
Veh_35,282.21,282.21,286.16,0.0,3.95,3.95
Veh_36,288.7,288.7,292.67,0.0,3.98,3.98
Veh_37,295.6,295.6,299.13,0.0,3.53,3.53
Veh_38,302.27,302.27,306.24,0.0,3.98,3.98
Veh_39,310.49,310.49,314.94,0.0,4.45,4.45
Veh_40,319.88,319.88,325.02,0.0,5.15,5.15
Veh_41,328.31,328.31,331.01,0.0,2.71,2.71
Veh_42,335.13,335.13,339.54,0.0,4.41,4.41
Veh_43,342.64,342.64,346.46,0.0,3.83,3.83
Veh_44,351.14,351.14,354.6,0.0,3.47,3.47
Veh_45,360.83,360.83,363.13,0.0,2.3,2.3
Veh_46,370.12,370.12,374.07,0.0,3.95,3.95
Veh_47,378.07,378.07,383.26,0.0,5.19,5.19
Veh_48,385.06,385.06,391.51,0.0,6.45,6.45
Veh_49,395.02,395.02,398.31,0.0,3.29,3.29
Veh_50,401.9,401.9,406.01,0.0,4.11,4.11
Veh_51,409.28,409.28,412.24,0.0,2.96,2.96
Veh_52,416.95,416.95,420.3,0.0,3.34,3.34
Veh_53,426.84,426.84,432.25,0.0,5.41,5.41
Veh_54,436.58,436.58,439.09,0.0,2.52,2.52
Veh_55,444.62,444.62,450.66,0.0,6.04,6.04
Veh_56,453.15,453.15,457.07,0.0,3.92,3.92
Veh_57,460.48,460.48,465.14,0.0,4.66,4.66
Veh_58,469.2,469.2,473.18,0.0,3.98,3.98
Veh_59,478.93,478.93,485.46,0.0,6.52,6.52
Veh_60,485.56,485.56,489.45,0.0,3.89,3.89
Veh_61,493.23,493.23,497.16,0.0,3.93,3.93
Veh_62,500.67,500.67,501.83,0.0,1.16,1.16
Veh_63,507.14,507.14,511.83,0.0,4.69,4.69
Veh_64,515.15,515.15,517.04,0.0,1.89,1.89
Veh_65,521.44,521.44,523.3,0.0,1.87,1.87
Veh_66,527.58,527.58,531.89,0.0,4.31,4.31
Veh_67,537.57,537.57,540.94,0.0,3.38,3.38
Veh_68,547.31,547.31,549.22,0.0,1.91,1.91
Veh_69,555.15,555.15,557.1,0.0,1.95,1.95
Veh_70,564.22,564.22,568.22,0.0,4.0,4.0
Veh_71,572.32,572.32,575.17,0.0,2.86,2.86
Veh_72,578.82,578.82,583.22,0.0,4.4,4.4
Veh_73,586.14,586.14,590.54,0.0,4.4,4.4
Veh_74,592.46,592.46,597.85,0.0,5.39,5.39
Veh_75,601.51,601.51,604.89,0.0,3.38,3.38
Veh_76,610.42,610.42,615.95,0.0,5.54,5.54
Veh_77,616.96,616.96,622.21,0.0,5.25,5.25
Veh_78,626.6,626.6,630.21,0.0,3.61,3.61
Veh_79,636.18,636.18,637.18,0.0,1.0,1.0
Veh_80,645.32,645.32,649.83,0.0,4.52,4.52
Veh_81,654.56,654.56,660.07,0.0,5.51,5.51
Veh_82,661.83,661.83,663.07,0.0,1.24,1.24
Veh_83,669.24,669.24,672.64,0.0,3.4,3.4
Veh_84,678.23,678.23,682.62,0.0,4.39,4.39
Veh_85,686.84,686.84,690.77,0.0,3.94,3.94
Veh_86,694.06,694.06,700.69,0.0,6.63,6.63
Veh_87,703.72,703.72,706.59,0.0,2.87,2.87
Veh_88,711.16,711.16,715.01,0.0,3.85,3.85
