ID_Vehiculo,Hora_Llegada,Hora_Inicio_Servicio,Hora_Salida,Tiempo_Espera_Fila,Tiempo_Servicio_Real,Tiempo_Total_Sistema
Veh_1,1.03,1.03,4.64,0.0,3.61,3.61
Veh_2,1.79,1.79,6.37,0.0,4.58,4.58
Veh_3,3.91,4.64,7.6,0.74,2.96,3.69
Veh_5,8.99,8.99,13.9,0.0,4.92,4.92
Veh_4,7.57,7.57,13.95,0.0,6.38,6.38
Veh_6,9.56,13.9,16.75,4.34,2.85,7.19
Veh_7,11.0,13.95,18.25,2.95,4.29,7.24
Veh_8,12.66,16.75,20.34,4.1,3.59,7.69
Veh_9,13.16,18.25,23.35,5.09,5.1,10.19
Veh_10,13.62,20.34,24.56,6.72,4.21,10.93
Veh_11,13.73,23.35,27.62,9.62,4.27,13.88
Veh_12,16.62,24.56,29.96,7.93,5.41,13.34
Veh_13,17.97,27.62,34.69,9.64,7.08,16.72
Veh_14,18.19,29.96,36.02,11.78,6.05,17.83
Veh_15,18.75,34.69,39.12,15.94,4.43,20.37
Veh_17,19.59,39.12,42.95,19.53,3.83,23.36
Veh_16,19.04,36.02,44.62,16.97,8.61,25.58
Veh_18,22.55,42.95,48.1,20.4,5.15,25.55
Veh_19,24.3,44.62,51.4,20.32,6.78,27.1
Veh_20,25.77,48.1,52.76,22.33,4.67,26.99
Veh_21,26.17,51.4,55.44,25.24,4.04,29.27
Veh_22,28.77,52.76,57.56,23.99,4.8,28.79
